  194    1.2000   70.0000    4.0000   -75.93666174   -75.73747745   -75.90756560
  195    1.2000   70.0000    4.5000   -75.92545364   -75.74187620   -75.91188789
  196    1.2000   70.0000    5.0000   -75.92001692   -75.74388976   -75.91388870
  197    1.2000   70.0000    6.0000   -75.91639638   -75.74509197   -75.91510193
  198    1.2000   70.0000    7.0000   -75.91565114   -75.74522229   -75.91524417
  199    1.2000   70.0000    8.0000   -75.91548127   -75.74519419   -75.91522316
  200    1.2000   70.0000   10.0000   -75.91542069   -75.74514950   -75.91518377
  201    1.2000   70.0000   12.0000   -75.91541231   -75.74513653   -75.91517212
  202    1.2000   70.0000   14.0000   -75.91541052   -75.74513242   -75.91516860
  203    1.2000   70.0000   16.0000   -75.91533550   -75.74505752   -75.91506923
    0    0.0000    0.0000    0.0000     0.00000000     0.00000000     0.00000000
  204    1.2000   80.0000    1.2000   -75.83777442   -75.35751320   -75.48646128
  205    1.2000   80.0000    1.3000   -75.93766131   -75.46306898   -75.59205316
  206    1.2000   80.0000    1.4000   -76.00411393   -75.53582400   -75.66467797
  207    1.2000   80.0000    1.5000   -76.04710716   -75.58588763   -75.71446552
  208    1.2000   80.0000    1.6000   -76.07355210   -75.62029100   -75.74852859
  209    1.2000   80.0000    1.7000   -76.08829420   -75.64397693   -75.77197048
  210    1.2000   80.0000    1.7500   -76.09239066   -75.65293720   -75.78091617
  211    1.2000   80.0000    1.8000   -76.09476244   -75.66043790   -75.78852220
  212    1.2000   80.0000    1.8500   -76.09568757   -75.66675706   -75.79510327
  213    1.2000   80.0000    1.9000   -76.09540143   -75.67212559   -75.80092672
  214    1.2000   80.0000    2.0000   -76.09195729   -75.68072275   -75.81116749
  215    1.2000   80.0000    2.1500   -76.08182374   -75.69005574   -75.82491676
  216    1.2000   80.0000    2.3000   -76.06828135   -75.69749507   -75.83773922
  217    1.2000   80.0000    2.4000   -76.05827939   -75.70193784   -75.84582359
  218    1.2000   80.0000    2.6000   -76.03754324   -75.71016044   -75.86048238
  219    1.2000   80.0000    2.8000   -76.01730610   -75.71761444   -75.87275005
  220    1.2000   80.0000    3.0000   -75.99861895   -75.72412695   -75.88263818
  221    1.2000   80.0000    3.3000   -75.97459511   -75.73176836   -75.89368012
  222    1.2000   80.0000    3.6000   -75.95584125   -75.73692681   -75.90123840
  223    1.2000   80.0000    4.0000   -75.93847731   -75.74091409   -75.90760354
  224    1.2000   80.0000    4.5000   -75.92618471   -75.74331392   -75.91185843
  225    1.2000   80.0000    5.0000   -75.92028543   -75.74443145   -75.91385568
  226    1.2000   80.0000    6.0000   -75.91642451   -75.74515920   -75.91508880
  227    1.2000   80.0000    7.0000   -75.91565257   -75.74522908   -75.91524104
  228    1.2000   80.0000    8.0000   -75.91548174   -75.74519467   -75.91522343
  229    1.2000   80.0000   10.0000   -75.91542171   -75.74514922   -75.91518462
  230    1.2000   80.0000   12.0000   -75.91541304   -75.74513623   -75.91517277
  231    1.2000   80.0000   14.0000   -75.91541103   -75.74513210   -75.91516904
  232    1.2000   80.0000   16.0000   -75.91533548   -75.74505753   -75.91506923
    0    0.0000    0.0000    0.0000     0.00000000     0.00000000     0.00000000
  233    1.2000   90.0000    1.2000   -75.86236870   -75.39910713   -75.51058042
  234    1.2000   90.0000    1.3000   -75.96090881   -75.50320260   -75.61456751
  235    1.2000   90.0000    1.4000   -76.02593607   -75.57426525   -75.68542682
  236    1.2000   90.0000    1.5000   -76.06746517   -75.62243741   -75.73331833
  237    1.2000   90.0000    1.6000   -76.09243694   -75.65478611   -75.76537474
  238    1.2000   90.0000    1.7000   -76.10571868   -75.67630071   -75.78671742
